20	0.8563378202	0.0644866143	0.0002392324	0.0479444668	0	0	0.0309450833	4.67197273774673E-005	0	5.81342990086626E-008	5.06225637434983E-009	6.12E-004
25	0.8668461573	0.0663068681	0.0002416558	0.0453616054	0	0	0.0211696291	7.38033451867467E-005	0	2.31361344979197E-007	4.96245668637639E-008	7.58E-004
30	0.8695932102	0.0686515018	0.0002479395	0.044229796	0	0	0.0171685156	0.0001081323	0	7.25544626819775E-007	1.78904505307239E-007	8.87E-004
35	0.8688230384	0.0708536403	0.0002543744	0.0435701752	0	0	0.0163462594	0.000150064	0	1.94130439021736E-006	0.000000507	1.01E-003
40	0.8664174793	0.0727907958	0.0002604939	0.0430987612	0	0	0.0172270662	0.0001995461	0	4.6075072268853E-006	1.25005064948469E-006	1.13E-003
45	0.8632342372	0.0744963079	0.0002659084	0.0427341285	0	0	0.0189992208	0.0002574374	0	9.97156558055525E-006	2.78816590990283E-006	1.24E-003
50	0.8596925352	0.0759900194	0.0002707699	0.0424154408	0	0	0.0212816407	0.0003237707	0	2.01063086475059E-005	0.000005717	1.35E-003
55	0.8557515248	0.0773113109	0.0002751654	0.0421524215	0	0	0.0240607552	0.0003995328	0	0.000038403	1.0886416045479E-005	1.46E-003
60	0.8514658495	0.0784845943	0.0002789788	0.0418817144	0	0	0.0273141616	0.000484866	0	6.99826253381047E-005	1.98527320655421E-005	1.58E-003
65	0.8469484542	0.0794236278	0.000282099	0.0416070832	0	0	0.030999498	0.0005804262	0	0.0001235479	3.52638538201557E-005	1.69E-003
70	0.8420623239	0.0802625368	0.0002848903	0.0413365951	0	0	0.0350933362	0.0006870918	0	0.0002132373	5.99886088297233E-005	1.80E-003
75	0.8367853781	0.0810112844	0.0002873312	0.0410600125	0	0	0.0395904082	0.0008059289	0	0.0003608637	0.000098793	1.91E-003
80	0.8312203603	0.0815918798	0.0002893476	0.040761388	0	0	0.044433763	0.0009368505	0	0.0006056457	0.0001607651	2.03E-003
85	0.8252647397	0.0820127268	0.0002908276	0.0404552528	0	0	0.0495999521	0.0010816713	0	0.0010377692	0.0002570604	2.14E-003
90	0.8184957915	0.0823365155	0.0002918077	0.0401191312	0	0	0.0551123451	0.0012416878	0	0.0019959965	0.0004067247	2.26E-003
95	0.8102243074	0.0824070709	0.0002920752	0.0396930189	0	0	0.0607982921	0.0014152701	4.41826098229573E-006	0.0045147662	0.0006507809	2.38E-003
100	0.7986227312	0.082125898	0.0002908956	0.0391249684	0	0	0.0664790876	0.0016024081	4.86877905754655E-005	0.0106032953	0.0011020279	2.52E-003
105	0.7812283232	0.0811103211	0.0002873217	0.0382398567	0	0	0.0718491058	0.001793987	0.0001695026	0.0232202568	0.0021013249	2.68E-003
110	0.7544522767	0.0790958032	0.0002801556	0.0369577313	0	0	0.0764187145	0.0019813933	0.0003873087	0.0461363213	0.0042902954	2.88E-003
115	0.7152203824	0.0756226351	0.0002678103	0.0349981174	0	0	0.0794371438	0.0021443896	0.0007040947	0.0830609271	0.0085444995	3.15E-003
120	0.6606697267	0.0704657617	0.0002494823	0.0323523835	0	0	0.0802282353	0.0022638155	0.0011014	0.1369584236	0.0157107715	3.52E-003
