1500	8.913E-03	5.9	-5.1	7	6.3	3.2	1.1937
1550	7.089E-03	6.1	-5.1	7.3	6.5	3.2	1.2069
1600	5.666E-03	6.3	-5.1	7.5	6.7	3.3	1.2206
1650	4.546E-03	6.5	-5.2	7.7	7	3.3	1.2347
1700	3.662E-03	6.8	-5.2	8	7.2	3.4	1.2493
1750	2.965E-03	9.4	-3.5	7.5	7.2	1.8	1.2644
1800	2.408E-03	9.1	-3.9	7.9	7.6	2.1	1.2798
1850	1.963E-03	8.8	-4.2	8.2	7.9	2.5	1.2955
1900	1.606E-03	8.6	-4.5	8.6	8.2	2.8	1.3117
1950	1.317E-03	8.4	-4.7	9	8.4	3.1	1.3283
2000	1.084E-03	8.3	-4.9	9.4	8.7	3.3	1.3453
2050	8.953E-04	8.2	-5.1	9.7	9	3.6	1.3627
2100	7.415E-04	8.1	-5.3	10	9.3	3.8	1.3806
2150	6.144E-04	8.1	-5.5	10.4	9.6	3.9	1.3989
2200	5.108E-04	8.1	-5.6	10.7	9.9	4.1	1.4176
2250	4.267E-04	8.1	-5.7	11	10.1	4.2	1.4367
2300	3.569E-04	8.1	-5.8	11.3	10.4	4.3	1.4563
2350	2.988E-04	8.2	-5.9	11.6	10.7	4.4	1.4763
2400	2.509E-04	8.3	-6	11.9	11	4.5	1.4968
2450	2.110E-04	8.3	-6	12.2	11.3	4.6	1.5177
2500	1.778E-04	8.4	-6.1	12.5	11.6	4.6	1.539
2550	1.499E-04	8.5	-6.2	12.8	11.9	4.7	0
2600	1.272E-04	8.6	-6.2	13.1	12.2	4.8	0
2650	1.077E-04	8.7	-6.3	13.4	12.5	4.8	0
2700	9.121E-05	8.7	-6.3	13.7	12.8	4.9	0
2750	7.771E-05	8.8	-6.4	14	13.1	4.9	0
2800	6.611E-05	8.9	-6.5	14.4	13.5	5	0
2850	5.636E-05	8.9	-6.6	14.7	13.8	5	0
2900	4.809E-05	8.9	-6.7	15.1	14.2	5.1	0
2950	4.112E-05	8.9	-6.8	15.5	14.6	5.2	0
3000	3.502E-05	8.9	-6.9	15.9	15	5.3	0
